channel,id,url,timespan,text,image,likes,comments,shares
bbcnews,10157728122492217,https://m.facebook.com/story.php?story_fbid=10157728122492217&id=228735667216,1.8913888888888888,Remembering 100 NHS workers who have died,1.0,2327.0,333.0,544
bbcnews,10157728074267217,https://m.facebook.com/story.php?story_fbid=10157728074267217&id=228735667216,2.3202777777777777,Rising virus care home toll leads to record deaths,1.0,950.0,197.0,186
bbcnews,10157727901822217,https://m.facebook.com/story.php?story_fbid=10157727901822217&id=228735667216,3.8133333333333335,Top NYC coronavirus doctor takes her own life,1.0,5854.0,1533.0,3332
bbcnews,10157727795172217,https://m.facebook.com/story.php?story_fbid=10157727795172217&id=228735667216,4.589444444444443,How NZ beat the virus and got its coffee back,1.0,3488.0,440.0,846
bbcnews,10157727671812217,https://m.facebook.com/story.php?story_fbid=10157727671812217&id=228735667216,5.345833333333333,UK to hold minute's silence for fallen key workers,1.0,4552.0,524.0,1085
bbcnews,10157727554722217,https://m.facebook.com/story.php?story_fbid=10157727554722217&id=228735667216,6.088888888888889,Trump 'can't imagine why' disinfectant calls spiked,1.0,1261.0,1130.0,792
bbcnews,10157727467892217,https://m.facebook.com/story.php?story_fbid=10157727467892217&id=228735667216,6.831388888888888,"Bereaved frontline families entitled to £60,000",1.0,2573.0,541.0,573
bbcnews,10157727302467217,https://m.facebook.com/story.php?story_fbid=10157727302467217&id=228735667216,8.338888888888889,Cuban doctors go to South Africa to fight Covid-19,1.0,17942.0,866.0,4801
bbcnews,10157726825737217,https://m.facebook.com/story.php?story_fbid=10157726825737217&id=228735667216,11.355833333333333,El Salvador gangs 'taking advantage of pandemic',1.0,2293.0,176.0,422
bbcnews,10157726679662217,https://m.facebook.com/story.php?story_fbid=10157726679662217&id=228735667216,12.325555555555557,Notre-Dame repairs start up again amid lockdown,1.0,3463.0,219.0,675
bbcnews,10157726552787217,https://m.facebook.com/story.php?story_fbid=10157726552787217&id=228735667216,13.2625,Are Trump's daily briefings over?,1.0,1790.0,1253.0,1201
bbcnews,10157726401812217,https://m.facebook.com/story.php?story_fbid=10157726401812217&id=228735667216,14.403055555555556,El Paso victim dies after nine months in hospital,1.0,1683.0,212.0,339
bbcnews,10157726250342217,https://m.facebook.com/story.php?story_fbid=10157726250342217&id=228735667216,15.224444444444444,UK failed to stockpile crucial protective kit,1.0,2780.0,1885.0,3341
bbcnews,10157725908457217,https://m.facebook.com/story.php?story_fbid=10157725908457217&id=228735667216,17.245833333333334,Return to school 'in children's interests',1.0,2887.0,1353.0,2308
